"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"gene-AT1G04570",758.755618864801,-4.99124641459897,0.171870011943072,-29.0408219454376,2.00952122826233e-185,4.49879126237875e-183
"gene-AT1G63090",2229.4597257644,-2.27926934719045,0.0787290076689818,-28.9508202208479,2.74033979775363e-184,6.0759130188847e-182
"gene-AT3G46620",1768.48783114061,-2.56999063412842,0.0887889255665617,-28.9449457545445,3.2489690826511e-184,7.13504553112874e-182
"gene-AT3G47340",16344.4493859302,-2.34845750749852,0.0813120447443668,-28.882037278508,2.00737301702418e-183,4.36679381127929e-181
"gene-AT4G25500",3795.67878670982,-1.62089370257902,0.0570141206654783,-28.4296887097386,8.6892594436967e-178,1.87257601413273e-175
"gene-AT1G62180",14501.4047875397,2.29468531987337,0.0812816252038191,28.2312923015417,2.41569157013417e-175,5.15772517738184e-173
"gene-AT2G31380",6838.93349309785,-1.99896342078741,0.071058052844107,-28.1314128487717,4.04577810152702e-174,8.55886213239555e-172
"gene-AT3G56090",4962.47377366925,-1.94897624699959,0.0699570412410004,-27.8596151641893,8.23767853054671e-171,1.72684208396251e-168
"gene-AT2G15960",2133.15619441043,-2.13515840749053,0.0767803582500702,-27.8086538817182,3.40901320626265e-170,7.08184103812706e-168
"gene-AT3G11020",1142.09340967033,-7.91303187281019,0.28467219637977,-27.7969958901561,4.71602458932233e-170,9.70953669689139e-168
"gene-AT2G22840",1511.21364491611,-2.32512991541302,0.0837280632651014,-27.7700190920594,9.98860290623298e-170,2.03829375588342e-167
"gene-AT3G54000",980.092986007587,-2.88402468891138,0.104277797610875,-27.6571308081657,2.29074094988974e-168,4.63352592662346e-166
"gene-AT3G56360",3201.00627761321,2.04802248687065,0.0743487676789663,27.5461524219728,4.9208737664299e-167,9.86699375479192e-165
"gene-AT4G17230",2512.29133208561,-2.28119178404774,0.0835484416997819,-27.3038220418861,3.82076720625745e-164,7.59509232836988e-162
"gene-AT1G21050",2616.62894648273,-1.95419309386375,0.0715810856334875,-27.3004115063258,4.1941498746456e-164,8.26605999653443e-162
"gene-AT3G47800",3886.54605024152,-1.953776892605,0.0716581422215741,-27.2652462376673,1.09614453758557e-163,2.14203363493099e-161
"gene-AT3G52800",5334.2031578184,-1.48887962999732,0.0548060933653498,-27.1663156151654,1.62468412737689e-162,3.14820094900704e-160
"gene-AT3G20600",888.926309814898,-3.99384359834041,0.147348272716745,-27.1047873497506,8.64670351968027e-162,1.66153613716923e-159
"gene-AT2G18440",5650.66326351149,1.49778656552973,0.0555037264108775,26.9853334610737,2.19690699472886e-160,4.18665110673163e-158
"gene-AT1G28330",4348.69741386653,-2.35893019977842,0.0876307039593025,-26.9189917825372,1.31649355701846e-159,2.48828073207284e-157
"gene-AT4G04330",912.433155695186,-3.04415338320619,0.11356057915471,-26.8064270706032,2.71925706114084e-158,5.09783321730461e-156
"gene-AT1G57990",3407.85383595139,-2.28144057882079,0.085426812408073,-26.7063760722177,3.96897256151382e-157,7.3806885722538e-155
"gene-AT1G59870",13345.5392618712,-1.37327016147439,0.0515536232840349,-26.6377040835395,2.48460003773436e-156,4.58339138160933e-154
"gene-AT2G41010",1491.16292328657,-2.35762082965906,0.0885760633339199,-26.6169068811643,4.32608950346502e-156,7.91708713177776e-154
"gene-AT4G34950",1207.57808176485,-3.50190633818772,0.131599574298798,-26.6103166127013,5.15672555939954e-156,9.30957232452718e-154
"gene-AT5G25280",6899.59672373585,1.5442333972459,0.0580315544195417,26.6102366667933,5.16772304757136e-156,9.30957232452718e-154
"gene-AT5G06690",937.750784087063,-2.83321564157347,0.107376058723624,-26.3859157735142,1.98812241706819e-153,3.55380735001359e-151
"gene-AT4G17490",698.815570088354,-3.38356114722291,0.129002766508482,-26.2285936867909,1.25444813944039e-151,2.22510151133508e-149
"gene-AT5G46710",1300.03448319901,-2.61927437007687,0.100959236415761,-25.9438805508634,2.13169493726712e-148,3.75227126400324e-146
"gene-AT3G50970",4929.9462895188,-2.00472567431755,0.0777332131337347,-25.7898212810084,1.15339941080042e-146,2.01486644042779e-144
"gene-AT1G29690",2258.81587785544,-1.85379821072726,0.0723378115511007,-25.6269601053345,7.63958412652681e-145,1.32452007799686e-142
"gene-AT1G49230",682.551159474037,-6.97239401942202,0.274992630913531,-25.354839496097,7.94728031056974e-142,1.36758460210021e-139
"gene-AT1G69890",685.255167861365,-3.20825135521385,0.12655252407635,-25.3511447411218,8.72897670574126e-142,1.49097388042732e-139
"gene-AT5G24470",10541.8900572788,-8.3631921569115,0.329979378007185,-25.3445903420346,1.03092955234233e-141,1.74795621672513e-139
"gene-AT5G28770",4969.04517278392,-1.40000790451441,0.0554032868594975,-25.2694015801775,6.93252723964273e-141,1.16684047897023e-138
"gene-AT1G70780",6401.40607450672,-1.51286034570856,0.05987667816168,-25.2662704771882,7.50420969744872e-141,1.25390993777877e-138
"gene-AT2G27260",1646.2708369837,-1.91538305766408,0.0759612053382791,-25.215279946313,2.72354261243922e-140,4.51814166188748e-138
"gene-AT1G66500",614.263897958614,-3.07323288302274,0.122359996385812,-25.116320478897,3.29914234918118e-139,5.43392310212634e-137
"gene-AT5G15190",663.497237739005,-3.51933674020041,0.14013827877414,-25.1133150127561,3.55823119994222e-139,5.81909597443033e-137
"gene-AT2G34510",5366.32024233573,-1.76686698801951,0.0706225824744078,-25.0184420636244,3.85174113530593e-138,6.25473935486052e-136
"gene-AT1G23710",1449.38401499598,-2.24289973710587,0.0896687761818146,-25.0131632504732,4.39641478469737e-138,7.08929570072284e-136
"gene-AT1G05805",2160.6467363227,-1.90216146806648,0.0769708105253893,-24.7127639046888,7.79822129997101e-135,1.24874433997244e-132
"gene-AT5G62470",1773.26898609762,-2.07101396910147,0.0838549730308079,-24.6975688411538,1.13578064324191e-134,1.80620454155278e-132
"gene-AT1G31173",628.867617737411,-3.27708233549488,0.133796909567312,-24.4929598605281,1.75567569469704e-132,2.77288533178213e-130
"gene-AT3G18490",17819.8053545274,1.34029630434755,0.054804504499326,24.4559515060305,4.34975812822705e-132,6.82320222304676e-130
"gene-AT3G55880",1432.16890395894,-2.26599755580989,0.0927534518498632,-24.43033127735,8.14499631431009e-132,1.26902344602484e-129
"gene-AT5G43620",502.42859385143,-3.60673248174573,0.147720239480603,-24.4159669279396,1.15745951849232e-131,1.79126570717546e-129
"gene-AT4G05070",5610.26318394306,-1.37219135183011,0.0563975468830216,-24.3306921607119,9.2826266492377e-131,1.42698725269848e-128
"gene-AT3G55580",832.449198592295,-3.5211677406189,0.145144862824122,-24.2596787244592,5.22658020757303e-130,7.98143794744546e-128
"gene-AT3G12320",8780.61681474321,-1.40905916731497,0.0581336604717015,-24.2382667095404,8.79212626888539e-130,1.3338002607515e-127
"gene-AT1G70090",4537.8930374589,-1.73705190750144,0.0718846409836925,-24.1644374059752,5.26499793826553e-129,7.93500571623953e-127
"gene-AT5G25210",585.823212957943,-3.06303744043392,0.126778794870019,-24.1604871191143,5.79324361437231e-129,8.67444185089682e-127
"gene-AT1G12420",1371.42333815396,-2.64419249315343,0.109550293717813,-24.1367905408316,1.02770206518684e-128,1.52888915620279e-126
"gene-AT3G07350",2802.42394059171,1.80334200945725,0.0750000112120868,24.044556531568,9.51738620797246e-128,1.40680390108742e-125
"gene-AT2G34090",822.873470342999,-2.7462644698356,0.115353237908296,-23.8074328873095,2.79731630998596e-125,4.10849151541186e-123
"gene-AT2G16890",1108.4567081199,-2.18006979807642,0.09164443817254,-23.7883481152667,4.40895172485597e-125,6.43455809009201e-123
"gene-AT2G40130",882.993922363744,-2.49057574911939,0.104797384564375,-23.7656288796928,7.57447561219533e-125,1.09848951661391e-122
"gene-AT1G14720",4155.64421491223,-1.35960892565085,0.0578972233948101,-23.4831455798746,6.06441843608315e-122,8.73996404485258e-120
"gene-AT2G40080",522.432091088574,-6.62939654486391,0.282331931179252,-23.4808599834035,6.3994113914497e-122,9.16546753263594e-120
"gene-AT5G62430",3486.06919316296,-1.70580573468837,0.0727303712753662,-23.4538296007039,1.20816166345292e-121,1.71969134552844e-119
"gene-AT2G41430",34775.0597220525,-1.19080155538726,0.0509145158561191,-23.3882525516374,5.62810324048927e-121,7.96186703205166e-119
"gene-AT2G16365",4024.12551767022,-1.74161143375967,0.0746171056476412,-23.3406458029068,1.71518856764752e-120,2.41161787691367e-118
"gene-AT3G49580",478.262780030497,4.84077182172497,0.20850240178962,23.2168635956977,3.07631215346273e-119,4.29919284525437e-117
"gene-AT4G27720",3983.61731970875,-1.42048556173578,0.0612407521737513,-23.1951031186815,5.10203282504917e-119,7.0872153561933e-117
"gene-AT4G18880",1476.67773739027,-2.09790488394329,0.0907646738060426,-23.1136718281648,3.37383305138402e-118,4.65851594801582e-116
"gene-AT3G27210",1248.07951909397,-2.50330872559076,0.10840981000934,-23.0911642163665,5.68027924828548e-118,7.79652138013184e-116
"gene-AT1G64760",1037.18882865428,-2.3566570279177,0.102064471212367,-23.0898862250917,5.85072172847839e-118,7.98294629212918e-116
"gene-AT5G39660",4292.40514426459,-1.81164006107439,0.0785671651606591,-23.0584883312237,1.20902770743204e-117,1.6399394062162e-115
"gene-AT1G21670",2430.11959782641,-1.74621556926461,0.075755311809845,-23.0507343649752,1.44616647327313e-117,1.95012588931025e-115
"gene-AT4G01250",888.924746259043,-2.48893473497562,0.108235288767796,-22.9955937967264,5.15936054613352e-117,6.91684272286586e-115
"gene-AT1G63860",813.502747113986,-2.81645973348436,0.122717188669008,-22.9508169477456,1.44605198623424e-116,1.92742848269221e-114
"gene-AT3G57930",1998.56845798151,-1.9515893204002,0.0857002238604063,-22.7722779765321,8.63401088090843e-115,1.14420492472912e-112
"gene-AT5G52310",8977.29889697976,-1.8550238158663,0.0814879299047922,-22.7643998078445,1.03338680770144e-114,1.36164950850214e-112
"gene-AT2G22500",1455.65845497308,-2.50350232889063,0.11015267639425,-22.7275669628789,2.3922969296914e-114,3.13431675578148e-112
"gene-AT3G62720",2123.27825362013,-2.10288514879768,0.0926099777727101,-22.7068961614345,3.82953647308435e-114,4.98899895665831e-112
"gene-AT1G23205",560.829140954292,2.80214222575083,0.123757337886874,22.642230946437,1.66405118589475e-113,2.15569417390713e-111
"gene-AT1G11960",1202.44978536032,-2.2630830251378,0.100300074888433,-22.5631239822613,9.98187179067286e-113,1.28587699229679e-110
"gene-AT5G45630",468.053101496296,-4.71623686627501,0.209157078894029,-22.5487795642074,1.38039681965069e-112,1.76836501468474e-110
"gene-AT4G25480",12053.8641127975,-9.62767278990952,0.428801072098644,-22.4525389892092,1.20867269304802e-111,1.53982229994443e-109
"gene-AT2G15880",5554.9753861606,-5.37177859871709,0.239341237148179,-22.4440161784212,1.46407464938251e-111,1.85495040330281e-109
"gene-AT2G31370",3123.87780938005,-1.42923614064225,0.06402975941306,-22.3214354347665,2.28824335400211e-110,2.88331166666309e-108
"gene-AT5G17300",11391.6809494897,-1.69031468242343,0.076104099004377,-22.2105603316611,2.71530378622308e-109,3.40283641339772e-107
"gene-AT2G23810",7198.55092231996,-1.4262742977221,0.0644164302451267,-22.1414675152696,1.26064704625762e-108,1.57131136430565e-106
"gene-AT1G62560",1832.07584706831,2.08662554351419,0.0943554696530059,22.1145160019636,2.29153303298709e-108,2.8408849574005e-106
"gene-AT4G16370",5665.21492499679,1.27017188699808,0.0574757682648588,22.0992589632712,3.21296449869714e-108,3.96191167783194e-106
"gene-AT5G17350",361.67459620031,-4.88990856789641,0.221680492245731,-22.058362097446,7.94063282704933e-108,9.73952406164524e-106
"gene-AT3G51550",11578.2474592168,-1.11262227943246,0.0505351403525486,-22.0168039837322,1.98799453496519e-107,2.42545851755356e-105
"gene-AT5G35735",1202.83179331981,-2.26614742546631,0.103661472967374,-21.8610382487961,6.10399966235682e-106,7.40800674812031e-104
"gene-AT5G17850",503.491915470277,-2.91770153023709,0.133761189747622,-21.8127659879682,1.75536565797137e-105,2.11921344016554e-103
"gene-AT2G30250",1311.30608525002,-2.0054527285917,0.0919978639912385,-21.7989053396141,2.37632030532663e-105,2.85393593336077e-103
"gene-AT4G34150",7954.8857400928,-1.32244016962621,0.060786937105558,-21.7553348234961,6.14959336769925e-105,7.34733023138741e-103
"gene-AT3G61580",18154.9340685897,-1.09989954959513,0.0506209229826628,-21.7281607048499,1.11166437248939e-104,1.32133344150685e-102
"gene-AT5G46330",479.77685704916,-3.32630760416368,0.153467429122739,-21.674355419764,3.58217317443126e-104,4.23596570406207e-102
"gene-AT1G78570",10197.8968226452,1.16470096988304,0.0539363257975201,21.5939990843164,2.04526298943569e-103,2.40621016701008e-101
"gene-AT3G26510",6228.2405938235,1.56911375067212,0.0727311262259056,21.5741709512154,3.14059802926918e-103,3.67609390644254e-101
"gene-AT4G22780",977.094171484482,-2.25027233081278,0.104597967960313,-21.5135377359013,1.16288468424455e-102,1.35429080474723e-100
"gene-AT3G24460",1865.14426434878,2.18374413790698,0.101748509966752,21.4621731425899,3.51485695592854e-102,4.07281841943498e-100
"gene-AT3G02150",1521.82113600623,-1.81401675638839,0.0845615795329421,-21.4520207215585,4.37239724651788e-102,5.0411554053728e-100
"gene-AT1G27100",5621.01100788599,-1.22299883406546,0.0571076303954263,-21.4156816803137,9.54373705293313e-102,1.09487080947057e-99
"gene-AT1G61340",1536.54730271306,-4.90210788880267,0.229575220997904,-21.3529485782241,3.66095988879642e-101,4.17911257800776e-99
"gene-AT4G33467",350.193788209456,-5.46636592196991,0.256395743333339,-21.320033830917,7.4004924174992e-101,8.40630318498099e-99
"gene-AT5G15130",680.089614057474,-2.49497135954977,0.117792328357719,-21.181102320797,1.42655012666046e-99,1.61249114562077e-97
"gene-AT4G05050",25684.041672652,-1.12903247215351,0.0533388388336446,-21.1671738050914,1.91714720617214e-99,2.15646328912797e-97
"gene-AT3G15530",1870.75923262435,-1.5254474932771,0.0726686469908496,-20.9918246237497,7.7897407383334e-98,8.71959377112767e-96
"gene-AT3G53990",3699.92204709178,-1.37500784150947,0.0655119461326143,-20.9886581407012,8.32633180271762e-98,9.27521183762636e-96
"gene-AT4G27657",385.284225926931,-3.56361669664251,0.170651356849018,-20.8824398612627,7.73400317705252e-97,8.57396054132952e-95
"gene-AT5G64660",685.960983680517,-2.42107081302711,0.116018333159869,-20.8680020397377,1.04615622776869e-96,1.15422566775685e-94
"gene-AT1G19770",5417.50372828548,-1.55666872083385,0.0746811883184462,-20.8441878856573,1.72104146766399e-96,1.88978548585067e-94
"gene-AT4G21570",4750.3907163724,-1.4126418170095,0.0681308254887198,-20.734253649156,1.70072646370091e-95,1.8586280344303e-93
"gene-AT1G66180",6034.96958512296,-1.34462395501302,0.0649206153261309,-20.7118177832766,2.71033545253683e-95,2.94800118868145e-93
"gene-AT5G67420",5897.83473608022,1.31032347802141,0.06332868409914,20.6908369668651,4.18879031654089e-95,4.53470966709467e-93
"gene-AT4G39260",4268.00733117657,-1.14680048549532,0.0555445545371704,-20.6464971238159,1.04959847499563e-94,1.13096688013665e-92
"gene-AT2G28500",453.379907013657,-4.04131014009158,0.196177089885192,-20.6003164918832,2.72655381305805e-94,2.92426066861887e-92
"gene-AT5G14565",459.64704045574,-2.76305562119317,0.134153197142298,-20.5962711292104,2.96406465080963e-94,3.16427623995459e-92
"gene-AT2G14750",4693.14407389283,1.34907697209051,0.0657035738820797,20.5327791531057,1.09716742168139e-93,1.16587942749084e-91
"gene-AT1G66160",622.530162184016,-2.29131511869419,0.111729098876056,-20.5077740869996,1.83502020952773e-93,1.9409968353899e-91
"gene-AT3G24550",5286.02640354474,-1.09439798765534,0.0536679770341735,-20.3920111793757,1.96883796185857e-92,2.07303354166652e-90
"gene-AT1G18330",1823.76274137589,-1.57242392485003,0.0772154958193265,-20.3640980112242,3.48205561524033e-92,3.64966911053759e-90
